"conversation_id_str","created_at","favorite_count","full_text","id_str","image_url","in_reply_to_screen_name","lang","location","quote_count","reply_count","retweet_count","tweet_url","user_id_str","username"
"1751284151897231515","Sat Jan 27 16:40:53 +0000 2024","894","Left side muka i almost dah nak naik merah2 and i cecepat apply this moisturiser and their 5X ceramide barrier moisturiser next day terus hilang weitak tipu skintific s moisturisers are the best!! https://t.co/FCiVLJi2RA","1751284151897231515","https://pbs.twimg.com/media/GE3PngAbsAEh8i_.jpg","","en","Selangor, Malaysia","18","7","80","https://x.com/DahliaRizal/status/1751284151897231515","1153859053589712896","DahliaRizal"
"1808455554601537898","Wed Jul 03 10:59:38 +0000 2024","291","Back to my honest reviewww Kulitku kan tipe yang combination to oily and finallyy Skintific ngeluarin Matte Cushion oksidasinya bagus tahan lama. Foto di bawah keliatan makeup sebelum pergi kerja dan setelahnya pas nongkrongg!! (Shade: Petal) https://t.co/0HI2i6BoEr","1808455554601537898","https://pbs.twimg.com/ext_tw_video_thumb/1808455509110034432/pu/img/zK2dj1uKa08zrJOV.jpg","","in","","2","22","257","https://x.com/zahralds/status/1808455554601537898","1158642234687815680","zahralds"
"1847235827241238817","Fri Oct 18 11:18:35 +0000 2024","433","kapan lg cobaa pake powder tp hasilnya gk dempul??? huhu thankyou skintific walau gak dempul tapi coveragenya cakep bgtt dan ga dry patchess untuk aku yang oily skin ini oil controlnya cakep 8jam makeup masi tahan finishnya flawless &amp; smooth! gokil sih https://t.co/u9nDgia55v","1847235827241238817","https://pbs.twimg.com/media/GaKzL7AasAASYo5.jpg","","in","","1","73","299","https://x.com/cryingbubbies/status/1847235827241238817","1277277848290471936","cryingbubbies"
"1798659187846832160","Thu Jun 06 10:12:22 +0000 2024","339","Jerawat aku kempes 4 hari dibantu sama moist barunya skintific yang anti acne bantu redain rasa perih di jerawat juga pake ini (ada cooling sensation) Tapi abis kempes masih aku pake sih ga cuman pas ad jerawat soalnya bisa bantu nyamarin bekas sekalian https://t.co/0FQtgH0JTa","1798659187846832160","https://pbs.twimg.com/media/GPYe_k5aMAEgoWr.jpg","","in","rainbow","1","17","291","https://x.com/dairypinkid/status/1798659187846832160","1290717205","dairypinkid"
"1590307457028722688","Wed Nov 09 11:36:58 +0000 2022","672","MOISTURIZER VIRAL!! The Originote ️ 50K isi 50 gram VS Skintific ️ 139K isi 30 gram kalian lebih suka yang mana?? #racuninskincare https://t.co/WGu2sBNlvm","1590307457028722688","https://pbs.twimg.com/media/FhHoKwCakAEZLHF.jpg","","in","santiapriani604@gmail.com","9","21","494","https://x.com/skingoldenhour/status/1590307457028722688","1279933889574666241","skingoldenhour"
"1712408700554813605","Thu Oct 12 10:03:43 +0000 2023","542","paling demen kalau ada skincare yg all-in-one begini. pelembap sekaligus bisa atasi bekas jerawat/dark spot. kalau kamu lebih suka skincare-an yg simple cobain moist Skintific ini deh. asli ga butuh brightening serum lagi utk atasi PIE ku https://t.co/qLCvXsZJbK","1712408700554813605","https://pbs.twimg.com/media/F8OyofxaAAAtcVO.jpg","","in","byshofura@gmail.com","1","16","510","https://x.com/azeclair/status/1712408700554813605","366944393","azeclair"
"1851594092121375002","Wed Oct 30 11:56:47 +0000 2024","6","skintific กระปุกสีฟ้า เนื้อดีมาก บางเบาซึมง่าย ช่วยเติมความชุ่มชื้นให้ผิว ปลอบประโลมผิว ใช้ดีจนต้องตุนไว้เลยย https://t.co/A6cjbhHpAa","1851594092121375002","https://pbs.twimg.com/media/GbIvAs2boAAf42f.jpg","","th","","2","3","12","https://x.com/smilexjynx/status/1851594092121375002","111653809","smilexjynx"
"1848618681548566787","Tue Oct 22 06:53:34 +0000 2024","285","Lately kulitku lagi bagusss bgt . Kalo kulit kalian kering trs sensitif jg cobain moisturizer ini deh Ngebuat kulit lembab tp ga over dan hasilnya bagus bgt bgt kulit jd plumpy dan dipake under sunscreen jg ok bgt alias no pilling . https://t.co/0qSxSIv0bH","1848618681548566787","https://pbs.twimg.com/media/Gaec44HbEAMi60r.jpg","","in","","0","12","257","https://x.com/skincareforfun/status/1848618681548566787","1301163159252738048","skincareforfun"
"1829292889945596336","Thu Aug 29 22:59:46 +0000 2024","567","this is the best moisturiser from skintific EVER!! hilang semua parut parut lama if you have uneven skin darkspot kusam please try this holy grail tub! https://t.co/IdVmvY7L1X","1829292889945596336","https://pbs.twimg.com/media/GWL0KDfbIAAGxHi.jpg","","en","","3","2","224","https://x.com/sabrinazhohir/status/1829292889945596336","1330476191128535041","sabrinazhohir"
"1531943473795936256","Wed Jun 01 10:19:20 +0000 2022","526","meet skintific 5x ceramide moisture gel moisturizer yang jadi favoritku sejak tahun lalu &amp; akan selalu aku rekomendasiin kalo kalian butuh pelembab yang ringan adem &amp; ga bikin greasy kali ini aku bakal cerita kenapa aku suka banget sama produk ini #racuninskincare https://t.co/9mBZ0BfYU9","1531943473795936256","https://pbs.twimg.com/media/FUKOd5PVUAAqV0p.jpg","","in","DKI Jakarta, Indonesia","4","12","105","https://x.com/sunnyblush/status/1531943473795936256","1355793855296069636","sunnyblush"
